,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
0,652.9964526910612,536.3008285133717,586.8568847820306,448.29492335992074,506.95987430416767,496.68813011734915,487.50217556527474,447.3834853564515,505.00291687865587,475.80765383037567,470.83481346335003,459.1086050616201,522.2150853258286,513.0388045238951,501.9121348544241,486.9162530419801,1
1,441.69177007182805,442.45866034213344,418.7709329116037,413.8427890275516,426.2213081351739,421.7201308892722,413.4388234968913,400.23105245496527,439.5613388329379,429.85542218092,431.0882232733508,416.1364329682317,454.9542540689688,466.9371873411139,443.56670708612296,455.54964219660815,3
2,680.6650322281296,665.7725156514703,689.051113116385,670.6334679128729,668.4143132257269,674.1540927510011,670.1421061674375,677.0983581998372,675.9512323476223,674.8664830952506,683.1803118446081,695.8561193052931,657.1872037051572,665.4984294946876,659.9522522868164,666.8496742314627,4
3,763.8445758655453,770.597095783968,764.2995306993968,770.7939993056772,791.0468647261409,790.1945094981481,801.7083370958794,793.9917180445748,788.0099104580214,799.9402316111327,788.8409841226846,799.3937644046024,866.8939139115264,781.4434276820017,878.8231846347375,785.4742980172856,6
4,666.6288114940776,633.2753870534465,650.3890124871426,620.1248584772273,635.1827264889143,645.3292920431742,637.5017384172043,641.0688173795431,640.936402802147,652.2806942818457,636.5190226114703,649.7362375010528,626.0052803915119,633.6992061798301,629.3514768571745,632.8228824540729,8
5,688.1631111199019,616.5776317536835,547.8706411889493,516.4465817296888,580.2244945687058,583.2155118245504,549.0670758961994,539.3140489132409,587.2437278884203,588.0649015663106,536.7003892904949,545.2293269766182,575.9279462497856,575.0630739803224,544.4705653397477,542.1078359480695,9
6,523.7971405671631,499.0244794174062,520.9158765229955,478.1031940968846,552.0777041033475,518.7688990247111,524.9759319723898,490.0702643059785,518.2838667779006,515.6127942747644,499.15559925735056,500.3613353503925,546.1598433786082,550.4921549348995,520.8427958833506,525.7373782013724,10
7,595.216187920018,579.0616372882469,603.0296476129162,563.4862234867853,604.8987218096656,609.625452593585,587.9325395082626,581.28666688665,598.1282066733896,609.0189600591206,585.727522374413,588.1130520192323,598.7003123648115,610.4292225774541,586.6398637066884,597.1985393972005,11
8,661.3955846552343,595.1403181217167,609.471419882898,541.879495931032,608.4144687613982,611.150741233749,582.0022600633665,558.8332298279264,612.9109048132332,608.7125990298832,562.1887182867423,565.2373721457918,597.5123937450124,604.8909417026922,570.945155609044,572.3586410009942,12
9,690.1437093846539,579.9443104181571,532.8410303271188,522.6640301889445,567.7151970366435,575.072871615697,552.575948356216,543.7957352297184,570.7860393472955,576.4436505953993,536.989740612479,549.546870023861,569.8618430178554,567.0895506038551,551.4636025548833,542.1281234207673,13
