,ID,sigma_0_short,sigma_0_long,Q_0,epsilon_short,epsilon_long
0,1.0,5.999999547538713,2.2123480558995943,8.077349900042226,0.06158398610304747,0.11248226556459964
1,3.0,1.1652623407319622,1.3220951302642323,5.381068278884827,0.026709295397569503,0.051557392110153796
2,4.0,1.0598896554137673,0.8494359390028619,4.234069608679554,0.1909596127845125,0.22512113124541683
3,6.0,0.7013780587131274,0.11436641827622733,6.283099950579129,0.3399231803542979,1.0836356619418163e-06
4,8.0,1.4923252157532148,1.048312030129226,6.143065560132736,0.1719794483691592,0.16970533992209977
5,9.0,2.3752898839082293,1.6733699135778473,7.411356049461899,0.2043343247331189,0.16249648944613984
6,10.0,0.8331100933460424,0.7095524420847429,4.2898882899582516,0.13247677745911812,0.03913048092815721
7,11.0,2.4715842277300295,1.182553645348735,5.306947730376705,0.04419144518300541,0.14141873500756694
8,12.0,2.249383267892713,1.7358115288108165,6.633813141868023,0.1536373358613912,0.13717046530366306
9,13.0,5.6924684901186655,2.1820113481354784,9.96017343340787,0.2036630357529924,0.15879698106790768
10,14.0,1.6019833247940074,1.4976545481473502,6.033276843500238,0.31908884488582295,0.32249645305834046
11,15.0,2.8246147607983736,1.4569998007209777,8.852679502542065,0.08026607899995639,0.18524396674579674
12,16.0,1.7659428351373514,1.2786616313973431,6.847988284463968,0.21700652498284748,0.3637889532505624
13,17.0,1.4416397887622765,1.3157142758295626,5.969375545090547,0.23070236617146686,0.14601830041476488
15,21.0,1.7095077065835347,1.1926407205935607,6.0911220874736625,0.017228188673828616,0.05553686326422116
16,23.0,1.8263859169174037,1.4102201024873928,7.4722526189506775,0.026839738222037928,0.06340753294239933
17,31.0,0.8879457409758245,0.8119510383542774,4.658028901139213,1.8346763077854017e-08,0.03610163256053011
18,35.0,0.5484080837014987,0.607141515321236,2.9827408019005954,0.031814487451138414,0.03829399073832802
19,38.0,1.300648639762422,3.600014951261763,4.726659724414925,0.03796057100777273,0.14028969722425408
20,39.0,0.8044123233302295,0.8218769610346697,3.9701755327421426,0.07101550558163375,0.05390364076811761
21,40.0,1.2247003413667878,1.2481132208507915,5.637453100820792,0.06958845914683441,0.07337959435331871
22,41.0,1.307507965621767,1.0366612350340008,6.502967754781685,1.515062336737971e-08,0.029725101631611277
24,44.0,1.875227704529615,1.756328961394691,7.762227001415663,0.03572274465251484,0.020508582928820556
25,46.0,1.2957992647176304,0.7826660066912899,6.9821348080594445,0.07223091203218532,0.17299212736065342
26,49.0,0.8143313555328944,0.7315496881713688,3.299153732587589,0.15250251750323568,0.08046151587456461
27,50.0,2.3431022679031304,2.1878604240594686,7.718709853919822,0.2083833437159046,0.20432503344212452
28,53.0,1.2102844068086118,1.2664505005918314,6.780603588597066,0.11703412816004417,0.03407267404655117
31,63.0,1.9027625955638514,1.2706009146292925,7.33225437942387,0.04958539753485912,0.026530359856543995
32,64.0,0.7020540585816533,0.40414511389585783,3.828876913462703,0.1489083717258125,0.0730230577100755
33,65.0,1.7172353791399375,1.4868419652148666,7.960841210531798,0.06952827031683395,0.12427131643215389
34,66.0,2.063315604606713,2.346381540627472,7.848647911243017,0.058108394813325324,0.11136367406584517
35,67.0,1.287634013484691,1.3272103918417357,6.0879122174713265,0.09158747890307292,0.14463422311236063
36,68.0,1.82752285151754,1.650959181480629,7.50296167335661,0.0866673161855831,0.0484578846082779
37,69.0,0.16940879996853755,0.18607255121932273,2.7673283492646052,0.10602325686771842,0.21134968068954155
38,71.0,5.081854827755154,1.6913004797597453,7.32960367320491,0.0359831808218683,0.08324941973584922
39,72.0,2.3276209847359617,0.6085136470854144,6.373381308213861,0.4047091009604805,0.34877026860549076
40,73.0,1.640407220234651,1.585974404592893,8.096323766549121,0.19546915568090562,0.19137550477999948
41,74.0,2.4988249700584326,2.026615349145264,8.102242216587126,0.1382048312426571,0.024629358817138448
42,75.0,0.6180030770800398,0.5621229186312631,5.070857134241876,2.0338850797689915e-07,1.7948976858872814e-07
44,77.0,0.5163028108331094,0.6675825453766295,1.2940256101963774,0.2689466568493875,0.13245754569135104
45,78.0,0.997835043645407,0.7674312414027045,3.9515125628155157,0.021155155141239182,0.12577702964292964
46,79.0,2.722359352703139,1.7706324901031896,8.27458893893967,0.08956655311127937,0.05134384321868339
47,80.0,2.002709618756364,2.589796978030438,6.173379397076149,0.04532561676181432,0.05078837853569966
48,81.0,2.336407753208884,2.038871230924704,8.505772614346911,0.09692686584231712,0.07353434831537953
49,83.0,1.604919219481486,1.2734462429558229,6.292240307009848,0.03353067322312257,0.060321500038815784
50,84.0,2.003700052037257,1.2183491200159262,8.095743538791499,0.10165131765671331,0.15271463975614413
51,85.0,0.579368538340538,5.999993899630214,4.152081963718545,0.2548596639334429,0.2517167996990837
52,86.0,1.9431897008421606,1.2595176748023638,5.777843948251803,0.12294818533476945,0.16752589333860662
53,87.0,5.999999813812496,1.6528130945529365,8.29959272224514,0.4999999912315386,0.45946043423499994
54,89.0,3.0515343726238267,1.7532112497895254,7.883433278447026,0.07150300869573746,0.13820449378608726
55,90.0,1.3155447028620637,2.210466442013094,5.597454490457618,0.01615564256496212,0.0017231991412656358
56,91.0,3.1663371496492854,2.458037944426284,8.078055347315228,0.09352845999455525,0.1880008404261643
57,93.0,0.6601909973255982,0.5478201676044242,3.6750839790779275,0.0522524324406567,0.14594398719211382
58,94.0,1.0943598880723282,1.85078621287017,6.629296838908732,0.19632540803857743,0.3307672246422854
59,95.0,2.219805873831874,0.9771091464198925,7.4240070321174905,0.18578563324543268,0.37315288030926624
60,97.0,1.0481311724828457,0.865281197115772,5.514622853707126,0.03183140963174955,1.0388291967247976e-08
62,100.0,5.999995332898072,2.1760507196998833,9.444058008853464,0.35194854757244204,0.31838007066993024
63,101.0,0.6304013991749452,0.5205416875674226,5.154295760243407,0.26448308384079217,0.08840870238622031
64,103.0,5.515911105395316,2.0459681295556096,9.999999945649284,0.04740944325199531,0.08047257596150241
65,105.0,1.8831547730762412,1.1006921196862092,6.789425214678954,1.8234984058100034e-08,0.0017902482488020553
66,106.0,1.2671664658939308,0.4819226150962797,5.307752167902524,0.1543887351923205,0.06118421610099601
67,107.0,0.6325989168576545,0.46069391790728975,4.229361352240376,0.199692660511724,0.12602207624562559
68,108.0,1.941995154294652,1.549314621893361,6.915255519242345,0.03640920566903923,0.05429320717632278
69,109.0,1.0693388774249617,1.1632150304535023,4.736453826528768,0.03661120086417487,0.07393474034061397
70,110.0,0.9677644598425715,1.2141582834678344,5.699278159823557,0.03976022350866109,0.12343122487519184
71,111.0,1.5009489763969017,1.2514540924171058,6.386007961910384,0.01739072040963839,0.09191519858700255
72,112.0,0.6665030421501195,0.7991642094116633,5.122916927254092,0.001265867924092033,1.9065716404120682e-08
