,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long,epsilon_short,epsilon_long
0,1.0,1.2713535634239297,1.2340967098900353,2.6285306176757546,2.2469111152824364,4.999997159051574,0.03162098746824793,0.1259518977977965
1,3.0,1.0643665159362263,1.08784613269187,3.324391342183356,1.1638180639355309,2.260215439490947,0.02882026989911456,0.05437530443141793
2,4.0,1.1099597293923702,1.20380238684343,2.627263033511112,1.42065074486869,1.1480136550976237,0.18730413931174425,0.24574962496354744
3,6.0,0.7975579883994856,0.0908807654244757,5.152284925975182,0.8152091321163645,0.05733397407650077,0.35064576267327,3.123764743583227e-05
4,8.0,1.310723499674459,1.060307483466194,3.4726309024889837,2.7303342866117646,1.8924438376402328,0.17887763505958146,0.17111979786852918
5,9.0,0.8708037154569636,1.1147439923740994,2.460550531137511,2.5611869021378837,4.656111496648088,0.08797810684478494,0.15404394875354468
6,10.0,1.0148298160680185,1.0646712611242461,1.5672904715435159,2.136206051307333,2.3985558733731662,0.11522143008148193,0.05940578548533229
7,11.0,1.4610061318589296,1.423452672643621,1.2804910252027217,3.31821283580616,3.6355286524239725,0.040896882386980284,0.14110856403478295
8,12.0,1.2094101568856952,1.2438275924615825,1.084429759187762,3.9963319846872047,4.999997251825075,0.13976509442702126,0.1521670550769163
9,13.0,0.8774843978898658,1.0743979290737202,3.4194286272875933,2.4872875734976,4.999999118842051,0.16358328684612145,0.15677106728486018
10,14.0,1.1991047236602317,1.1941015009818174,1.9651658386036694,2.8414805083919465,3.902572362757006,0.29913221536784307,0.3020503374506032
11,15.0,0.9784493701807571,1.5499478611108715,4.068552090416509,2.4357754557037588,4.999536336198747,0.06311067661644824,0.2102736294551185
12,16.0,1.1939745983006806,1.0447568764860875,2.788823024610055,2.9224101936420577,3.7117117949653657,0.20369628839866014,0.35757481939152497
13,17.0,1.0955705112995304,1.459803335199481,3.88476889588675,1.593204551948109,1.8679944536328303,0.21721260859861247,0.15271615823391171
15,21.0,1.281566766212818,1.1945673906552214,3.136192310264295,1.8210466182326235,3.087338113654018,0.016194132538655332,0.06267703120807096
16,23.0,1.2591622423501012,1.3517302939157043,4.4663188229167075,2.06712250828153,2.8975159183410675,0.02873906568898839,0.07018786935239699
17,31.0,0.919606066983606,1.008303605068243,2.641398255693036,1.1886506680423627,2.1057408947569654,1.2288534592112367e-08,0.051781140585222984
18,35.0,0.7104142698216701,0.7305086117280291,1.968598073943097,0.5921947452112948,0.8009677646061504,0.05565164221317987,0.03518212616329669
19,38.0,1.3381573497416381,1.5931605725165856,1.8214938131830696,2.2209760972763517,3.895185071202324,0.042119864675314825,0.1372651303376013
20,39.0,1.044127385908714,1.0546438118845447,1.8492951640041295,1.488669375094605,1.9273806200562438,0.07559268404466848,0.048012501888513755
21,40.0,0.9333656807406682,1.286337109489044,3.6147568859586383,1.1547483560394614,2.269333644963367,0.07098879665782243,0.08589318839905295
22,41.0,1.0527621652397028,0.9378748601848897,4.574177891994613,1.3273281896958815,1.5646224235793227,1.0227302749936124e-08,0.02164197755152027
24,44.0,1.4226094122284054,1.5074184163202906,3.261099032502759,3.422771558738449,4.396748694359481,0.03230004367177397,0.023103463521736037
25,46.0,1.0117981564277805,0.7913034971252876,5.585910265501733,0.7214337249288717,1.3191892194846297,0.07066542954991525,0.1889940213571315
26,49.0,0.9980930954301837,0.8390850876320278,2.358006354071552,0.6918520244462315,0.7279084724069331,0.16632900879115634,0.08775586888966666
27,50.0,1.4224812488570209,1.6299543664765221,2.5384462451304324,3.915347682609248,4.592993861337138,0.20030941241623476,0.2084751801632548
28,53.0,1.1007820386850498,1.2395461059506943,3.1171986658499193,2.762992807717045,3.4547769328686107,0.09657621956836061,0.038131074755662096
31,63.0,1.2933274678830806,1.3496533370670143,5.252915874599397,0.9363892925511395,2.494083324947982,0.04423617506323476,0.035311777727538934
32,64.0,0.7881969544929287,0.5775999033484164,2.9927890169572713,0.8375047924445274,0.35974375424833865,0.14455607481162933,0.1425705386512375
33,65.0,0.9718951681783199,1.5687073828544562,4.224141931342731,2.160094731232211,4.222448074960961,0.0530669345298386,0.13575536628438806
34,66.0,1.0675777556276627,1.3337441853340914,1.9607575938750668,4.221059634623183,4.636583762004956,0.05185081941463898,0.11680019875517915
35,67.0,1.137733264883636,1.1756781584529676,4.055201388618702,1.3576830140328635,2.158030813466156,0.09439626803466356,0.16003835304322658
36,68.0,1.457645538132442,1.207349674902612,3.796438911657764,2.785409748757433,3.294250385043416,0.0793180436128912,0.050639677816605784
37,69.0,0.16940872239449783,0.18607245915914494,2.767328270328425,5.560271218928168e-10,2.0296736613294755e-09,0.10602307621038294,0.2113495629152532
38,71.0,1.3818123388018304,1.6928654082824273,3.4427694853567004,1.3043160958673206,4.33553659990046,0.014256737926192514,0.08726442534282988
39,72.0,0.9620111772028246,1.4696345755191127,2.5485201512413207,2.2682994914283774,3.7298844593822778,0.36572951007129656,0.3908407746068354
40,73.0,1.115511087296434,1.2749359744286608,4.3079707445811515,2.5062197748218153,3.563429066952502,0.1895643458003797,0.2001790384911056
41,74.0,1.5010046581207472,2.1761116650009398,4.0060405935562455,2.5981240232329017,4.684768838960898,0.1302526322129335,0.03987388694142967
42,75.0,0.820837867859756,0.8954704108920425,2.905801903407104,1.4517123063167174,1.9939859397163626,0.05421291575792036,0.09072254222145093
44,77.0,0.5346077336983338,0.682423846682919,1.18459771633517,0.1755783974745807,3.1046602351786845e-07,0.2645097710016099,0.13436138718884447
45,78.0,1.2726576355289454,1.0457683562550006,1.8310566307746945,1.4693656825292185,1.9911318148057067,0.03461474139468101,0.12085094690652595
46,79.0,1.0178887107037349,1.5184051604228983,3.4149547409948027,2.711084504740192,4.74630920523845,0.07001334523344008,0.06160962423483367
47,80.0,1.638002494870574,2.358298749067973,2.6407744503998236,2.552899361428151,4.335041501798393,0.03175846945490107,0.06550891861085159
48,81.0,1.1819532012197986,1.2055220962978361,2.2891075466006874,4.36179007690534,4.99999264836259,0.08520242186000578,0.07193696164814123
49,83.0,1.3628728744383274,1.1857317122196314,3.59840951916013,2.1909910554113647,2.373632190895658,0.03736187671287816,0.06473429662207375
50,84.0,0.9199950296717703,1.4256658701423488,4.828556550027289,1.5183652665172698,3.6644437548170266,0.08024157796174808,0.1756469680005124
51,85.0,0.6485838409494555,2.2264630208051224,2.7313117459343306,0.8556755884737625,2.8565991594921885,0.2651428657375333,0.26547200349720645
52,86.0,1.491858951766768,1.2922374870200748,2.796303302455899,2.75027081358458,2.4691156534283367,0.11904085008946616,0.1671848812340963
53,87.0,0.6966793355339411,1.8762265247992211,4.325085554015688,0.7669238971915879,4.999912379445303,0.49720941808219354,0.47873901942258523
54,89.0,1.422261295762745,1.477557942941513,2.7494007349867435,3.2161369402621554,4.999996616615003,0.05964335648019736,0.136384380157091
55,90.0,1.1950899601453502,1.5213196591689833,3.7382701487101833,0.6842978833778659,3.2842008626701777,0.01640386801607778,0.019759627534707398
56,91.0,1.079304932112241,1.4526967008848621,1.8169605733703276,4.331519174989545,4.999994144258032,0.13073423512471968,0.19155478702132692
57,93.0,0.8368841654602618,0.869805207493045,1.4813856164738641,1.4787917238959398,1.8837296466852342,0.0767254238374925,0.1461435581191061
58,94.0,1.2262348083897723,1.1274067785340987,3.5794797061194297,2.638299528997668,2.371747128586751,0.21863825351689553,0.3349653005652897
59,95.0,0.7341319153055492,2.3424300202363173,4.407679110736967,1.214952613881353,4.473154694075217,0.1196343358090596,0.3995946990775518
60,97.0,0.9560387085998492,1.0194189364773387,3.2501549289564524,1.4245585172667201,2.1953528260381816,0.02851900368718643,0.0038272983768177786
62,100.0,1.304387288529347,0.6722345765546137,3.66438513675196,3.237165116450027,2.8183171438103756,0.4162417269864448,0.28591226226304467
63,101.0,0.7527303828120935,0.7834224063288909,3.4673761810340054,0.8722881371074508,1.5254768570700976,0.2676722971138127,0.14785362621792955
64,103.0,1.0665169277210202,0.8942936154640371,3.501139561444238,2.6403032201368326,4.999999937779915,0.033096167290718036,0.0713589608689477
65,105.0,0.9716406644855848,1.243561464095824,4.496502142130714,0.7628633744937082,2.9869790901140125,1.42640460955102e-08,0.016363565534690663
66,106.0,0.8936160945059172,0.7124399276399402,3.7469945698438094,1.2995991439197898,1.0795064013047755,0.13485609513013802,0.14827486173023166
67,107.0,0.6063775096540959,0.5013305278235692,3.9963001052119,0.3080929006439902,0.01974086532514753,0.1937381689511074,0.15548824973280528
68,108.0,1.159692440784233,1.4364534769645165,3.0826039193578305,2.207786125200442,4.414322375409315,0.024622393301493205,0.07552032000423518
69,109.0,1.1906966000856687,1.2759743405280808,2.5702454702326265,1.6692309099230198,2.11418598745107,0.028598079847107667,0.08185187062267348
70,110.0,0.8541834474620242,1.2331964104597521,3.3488146158656837,1.3165409669939918,2.7676187136559274,0.041243849895934964,0.12225934369225552
71,111.0,1.1620371437371464,1.0751127973660521,3.311886134662179,1.882105588198027,3.1054199726589466,1.7465166940564686e-08,0.07696588003216177
72,112.0,0.7910773255423206,0.8899533194817323,3.4352571968689976,1.023962318896218,1.5792723362375156,0.027804473398172325,0.012935469125836898
74,114.0,1.0744933760230178,0.8743976100165453,4.422840649411361,3.7031074541110885e-08,0.9218628611692345,0.005983130172678386,0.072594378603237
75,115.0,1.148799711730489,1.0191958006776223,2.1409477684983114,3.281831221877689,4.999999649794654,0.0825073206158021,0.0945242280598788
76,116.0,1.0336982690046959,1.1559524234403136,4.92977113251377,1.1683061709707712,1.9409225471291427,0.03999353794545948,0.04677849110870595
77,117.0,1.127218578856716,1.1143569463800882,2.8728569316681063,1.7081255580448425,2.165364425447565,0.2787971786519409,0.24160828533981535
78,118.0,1.1822018880965943,0.842225007217864,3.4238691749269425,1.163148899530387,1.0178764216611638,0.1194328550310654,0.12715654519211395
79,119.0,0.9982260219632182,1.227116538882576,2.6824925616189015,2.6847132737729686,4.511546410824969,0.031232847420287625,0.05399392431460667
80,120.0,1.221434138035399,1.3807282938289491,3.5235649128440047,3.124030611061168,3.92281407679911,0.04156753955069652,0.020712730718108727
81,121.0,1.1300420383690335,1.388118373713047,2.9682465472551245,1.673457329986958,2.129667297235106,0.009443631141115153,1.1600518909538497e-08
82,122.0,0.8966283467065068,0.8086609478659732,3.5092829998351123,1.5145343833105698,1.5983279773144907,0.1954279668523402,0.13828157883331618
83,123.0,0.9417106199724117,0.9827641486550762,3.2810328282602255,1.993623736929976,2.5537630771586928,0.06566435772195597,0.05959377763995881
84,125.0,1.4062867357415956,1.166011791331567,3.53814825965161,1.2131531946106502,1.8857524804668058,0.13663487156505968,0.21174051797645987
85,127.0,1.515084803660645,1.3269997750864302,3.1905227147006987,2.7373644728204596,2.980906171966884,0.06349486193345423,0.10719831973670393
86,128.0,0.4381392398198612,0.4868976341886387,3.965503289817051,0.37911822632148257,0.5530620341657644,0.11036934774762996,0.06120194719084984
87,129.0,0.8144460662189598,0.440365857340478,4.878810496535667,0.3467214651747075,0.011310389853098792,0.4411760134690038,0.49363856454772026
88,130.0,1.9053736313036667,1.6898317221874524,5.0453966174825595,3.7927518896284678,4.999999135176092,0.02886961930928595,0.0518850684635928
90,132.0,1.2257243020465345,1.2220788194935583,3.465720329219379,1.7331721428740834,2.1161920651422474,0.014880681754511547,0.025299373502010863
91,133.0,0.955266497333338,1.135858657665712,2.1332367813212127,2.2296736234092633,4.999999722847571,0.03950732742746525,0.12106740813804952
92,134.0,1.0861868895685713,1.3722013019506658,4.325362118667431,1.336988654963101,3.149169074182938,0.03358236220852529,0.10988716456565897
93,135.0,0.8710671249186323,0.8704088215229736,2.105740004379484,2.3106790450799446,1.680427081425597,0.10652937220979457,0.32102696121173785
94,136.0,0.5028764998194675,0.9163303066467248,5.036236692610693,0.9836361330311911,2.2871219485228402,0.11913121791321117,0.18794751609413105
95,137.0,0.9515613878243003,1.2197054471255329,3.1660393611629654,2.976715373938722,3.466100351087684,0.05332042154333668,0.14776692259514773
96,138.0,1.3639139162126932,1.289115067206648,2.9985236714585994,1.1739800005307957,3.776463344535872,1.0910366261758291e-08,0.11103159922599673
97,139.0,0.9514993858449596,1.4173361754270173,5.112380452440569,1.3171429254252964,2.8011420958630406,0.0263545949932477,0.0866496436608976
98,141.0,1.2282644774309985,1.155471400568055,3.2415636703312125,0.4441692150666228,3.330713210450544,0.08806382483058943,0.10133307387929684
99,142.0,1.0244112010579225,0.9726297300106037,2.7752048067433703,2.6780270931554795,3.365596406371859,0.06600829700191146,0.001412110902972829
100,143.0,0.8721118987399794,1.2560596335593028,4.015442634922735,1.1603094346830103,2.9971017064722623,0.010142320702057138,1.0860272211306927e-08
101,144.0,1.2462116475564229,1.3984340166835523,2.8722014082273235,2.7997336112857836,2.678149656027104,0.11711050310142715,0.1398258394964144
103,147.0,0.4398994511644665,0.37497446353586944,4.267788998588663,0.2852966406021998,0.13367221672858529,0.051625552093173155,0.2255960590642722
104,148.0,1.4224840411518331,1.784913187704256,2.641060387775364,3.2232414749980034,4.6943539967528585,0.09835097714694911,0.3958051282022284
105,149.0,0.32266561055636106,0.1503920114977125,4.3535129312290906,2.2973072636898678e-08,2.0866663497470534e-09,0.14012463457854415,5.7221978650499685e-08
