,ID,Q_0,gamma_short,gamma_long,beta_long,beta_short
0,1.0,5.621118487639635,1.5221697636947804e-08,2.304623230158752,1.0,1.0
1,3.0,5.051485028179668,1.5540018946161932e-08,1.1118561041434845,1.0,1.0
2,4.0,4.2288774621170715,0.26610639626944876,1.787572742912558e-08,1.0,1.0
3,6.0,5.2767180384086885,0.5219943679435209,0.5949506295058018,1.0,1.0
4,8.0,5.918225630380241,0.6719298346093224,1.033256293263153e-06,1.0,1.0
5,9.0,6.2669946532055745,9.756299853423996e-08,1.4295411310784985,1.0,1.0
6,10.0,4.5385920992695885,1.4900610185041537e-08,2.1777256206733362e-08,1.0,1.0
7,11.0,5.381008726273629,1.1745070024213584e-07,0.12814568347990862,1.0,1.0
8,12.0,5.978530539258057,1.456318085018532e-08,0.7622344651623351,1.0,1.0
9,13.0,6.974642321621157,1.6219506105348214e-08,2.041966571798531,1.0,1.0
10,14.0,5.569100569801186,2.2543267220690077e-07,0.6293211526156998,1.0,1.0
11,15.0,7.56181935299246,2.935162840924184e-07,0.8853725360492618,1.0,1.0
12,16.0,6.256734673350494,2.7482783092148534e-07,0.5209539139494771,1.0,1.0
13,17.0,5.908189772800617,4.033773796431633e-07,0.187516182411542,1.0,1.0
15,21.0,5.541716830588335,1.4455722304930338e-07,1.3900046473981642,1.0,1.0
16,23.0,7.167724111360059,2.728450787727966e-07,0.690843438965714,1.0,1.0
17,31.0,4.408487784857774,1.3537548179469708e-08,1.0423632567478125,1.0,1.0
18,35.0,2.6864648530478035,1.3152198146148545e-08,2.520200317939154e-08,1.0,1.0
19,38.0,4.6443133003043355,1.4385727674619073e-08,1.3687636319438738,1.0,1.0
20,39.0,3.9274065491683063,1.3649277225826916e-08,0.25795374175722563,1.0,1.0
21,40.0,5.425770368988159,1.5985480866036914e-07,0.8798585789098323,1.0,1.0
22,41.0,6.7012073016350575,4.4913933088154717e-07,0.38183538878391554,1.0,1.0
24,44.0,7.472566857502918,1.6997224555702217e-08,0.7412121855023748,1.0,1.0
25,46.0,6.641495449822667,7.960215211637586e-07,0.699609450681803,1.0,1.0
26,49.0,3.2261706677511626,7.245589880670633e-07,1.1003902556039615e-07,1.0,1.0
27,50.0,6.958032749066043,2.097961662906316e-08,0.20149725578318234,1.0,1.0
28,53.0,6.668058096020806,1.8015055865981148e-08,0.6914490307734954,1.0,1.0
31,63.0,6.561835417640261,2.4413752018662107e-07,1.5654979157153863,1.0,1.0
32,64.0,3.635239777312662,0.4291760629687524,9.526061930834606e-08,1.0,1.0
33,65.0,7.341735801442195,2.9095162658555744e-07,0.8959510602229716,1.0,1.0
34,66.0,7.403758954513451,0.09872823371793629,1.3042041917018455e-07,1.0,1.0
35,67.0,5.776977959159993,2.2596537929915745e-08,0.6539797797177349,1.0,1.0
36,68.0,7.179724862936974,2.1303293049184703e-07,0.5984157688072976,1.0,1.0
37,69.0,2.948400151629027,1.0849425438075203e-07,0.17394321064522197,1.0,1.0
38,71.0,5.179842223773891,1.5705329659145736e-07,2.5458885834561036,1.0,1.0
39,72.0,5.551313896547661,2.3855307591218525e-07,0.7973577238869443,1.0,1.0
40,73.0,7.3637515049392155,1.0833676224795146e-06,0.46440082558163087,1.0,1.0
41,74.0,6.8247102840830705,2.2937829068218887e-08,1.605019612604122,1.0,1.0
42,75.0,5.159329566251158,1.4012638885512254e-08,0.40662701969300147,1.0,1.0
44,77.0,1.9691930517575649,0.20087956365131496,1.3014408390192695e-08,1.0,1.0
45,78.0,3.8267876968470786,1.3840099893706222e-08,0.42691786035680157,1.0,1.0
46,79.0,7.209532154450071,1.661136248025826e-08,1.3939039976328267,1.0,1.0
47,80.0,5.734512403035351,1.3430898154238497e-07,1.054626079369054,1.0,1.0
48,81.0,7.919612876453309,1.1251075492195304e-07,0.4489593725124028,1.0,1.0
49,83.0,6.3638584854248155,1.7348269062659107e-08,0.2501775321348765,1.0,1.0
50,84.0,7.099630502897964,1.310321982164842e-06,1.4569616684505668,1.0,1.0
51,85.0,4.350605036102932,1.410342982645933e-07,1.1776523427729155,1.0,1.0
52,86.0,5.8669982528865585,0.07825522489235827,1.505513386301998e-07,1.0,1.0
53,87.0,5.2711746376082065,2.821840311661612e-06,1.3436369907429093,1.0,1.0
54,89.0,6.6349221286413185,1.5322962037947537e-07,1.2873794750518623,1.0,1.0
55,90.0,4.776648841774048,1.1481755537214973e-07,2.504600151403638,1.0,1.0
56,91.0,7.368453076578047,3.935163902816105e-08,1.7883077487890538e-08,1.0,1.0
57,93.0,3.7380025242135244,6.497765228949432e-08,0.24509125800790982,1.0,1.0
58,94.0,6.134035402118819,0.5118653416037418,2.4989532465864383e-07,1.0,1.0
59,95.0,5.85026551114646,0.4422609069470058,1.2781276964355297,1.0,1.0
60,97.0,5.4116325597156205,1.4320686415408218e-08,0.8649762913516864,1.0,1.0
62,100.0,6.436145621273563,1.7984375822896758e-08,1.0037721844980256,1.0,1.0
63,101.0,4.946753633495381,1.5484983381443706e-08,0.7651176878172253,1.0,1.0
64,103.0,7.295603441659057,1.5480847684534738e-08,2.1088056333655723,1.0,1.0
65,105.0,5.82184304796964,2.1915737623935573e-07,2.394524404027451,1.0,1.0
66,106.0,5.579252316701212,0.04862183294088241,1.6391101112320526e-07,1.0,1.0
67,107.0,4.1009247307907115,0.20953137331866845,1.4467859775718966e-07,1.0,1.0
68,108.0,6.053535700493679,1.0687479665249871e-07,1.7480269036009513,1.0,1.0
69,109.0,4.8323414614316516,1.5429620388892703e-08,0.2918120412100488,1.0,1.0
70,110.0,5.329533780997678,1.509007652511375e-08,1.2523423458917464,1.0,1.0
71,111.0,5.991769221150693,1.5733440226716264e-08,1.1842013755062006,1.0,1.0
72,112.0,5.1749125533169895,1.4249539624717691e-08,0.5932268199191334,1.0,1.0
74,114.0,4.397027947354565,1.9759347012066553e-08,1.3635251920710665,1.0,1.0
75,115.0,6.393142772756353,1.4338652207864997e-08,1.7902193889452518,1.0,1.0
76,116.0,6.752193186264779,3.0568024213070576e-07,0.7290065627257982,1.0,1.0
77,117.0,5.023394229955941,3.395044777257904e-07,0.46019967422067215,1.0,1.0
78,118.0,4.965243135822158,4.410989098151095e-06,1.5619362506704265e-07,1.0,1.0
79,119.0,6.560562736699422,1.4580878444338103e-08,1.6608171198770043,1.0,1.0
80,120.0,7.52285765863426,1.5528837235013002e-07,0.6029299233909462,1.0,1.0
81,121.0,5.242835290680835,1.6267993254760718e-08,0.3435896927598696,1.0,1.0
82,122.0,5.881850272926199,1.540854627399729e-08,0.06655452503520046,1.0,1.0
83,123.0,6.149529781960425,1.4710411329723519e-08,0.49409457050323097,1.0,1.0
84,125.0,5.154750740776526,2.4845177528551073e-07,0.5838193805583206,1.0,1.0
85,127.0,6.456550372155646,1.8376134243524925e-08,0.24799848937499042,1.0,1.0
86,128.0,5.037150121498018,1.0159515477577403e-07,0.12013309816056822,1.0,1.0
87,129.0,4.046074961745725,1.1702026809945956,0.8208105360288097,1.0,1.0
88,130.0,9.09880436148762,3.103432030517016e-07,0.6928131455964636,1.0,1.0
90,132.0,5.806944199189731,1.6264370022659268e-08,0.31420620710507624,1.0,1.0
91,133.0,5.389358823885675,1.3223889468103399e-08,2.611757738779949,1.0,1.0
92,134.0,6.263231673897608,2.0021429366098733e-08,1.509637174277315,1.0,1.0
93,135.0,4.5253636176892345,0.6504921561630302,1.3796889891911099e-08,1.0,1.0
94,136.0,7.3902625949620795,2.044954486108418e-07,0.7924106512942473,1.0,1.0
95,137.0,7.495230701528924,3.939841720639927e-07,4.4379153185003896e-08,1.0,1.0
96,138.0,4.611432446565714,1.6213806283550043e-08,2.3841294568708635,1.0,1.0
97,139.0,7.2260833110671925,4.364092481497201e-08,1.049545574477822,1.0,1.0
98,141.0,3.939016489360618,1.0310100706338852e-07,2.9999996166594793,1.0,1.0
99,142.0,6.618348401461888,1.4283124939552901e-08,0.9554517047358341,1.0,1.0
100,143.0,5.93744892089376,1.585200883513775e-08,1.8809517810227365,1.0,1.0
101,144.0,6.097365076057946,0.19068572843858858,1.374969612806783e-07,1.0,1.0
103,147.0,4.750330224538635,0.10537576110146415,1.273560065247382e-07,1.0,1.0
104,148.0,6.543214748933649,2.5456968578945716e-07,0.3559877178508585,1.0,1.0
105,149.0,4.272479723950319,5.459500632015601e-08,0.002879194224380151,1.0,1.0
106,150.0,4.5512175113500835,1.2908890497573065e-08,2.5578141580065274,1.0,1.0
107,152.0,3.7889564494006907,9.774617391940627e-08,0.6673143437445277,1.0,1.0
108,153.0,3.8972866395155474,1.4943423523490745e-07,4.036821449673075e-07,1.0,1.0
109,154.0,6.765621780440383,1.1546395369536496e-07,0.10902121083959063,1.0,1.0
110,155.0,6.795896666802929,1.6093655470656582e-07,0.6185178626924883,1.0,1.0
111,156.0,6.705947879223461,1.6476061930663585e-07,0.09283788656443773,1.0,1.0
112,157.0,5.3586333568979265,1.5163219982938763e-08,1.6095238026069352,1.0,1.0
113,158.0,5.880803793427895,4.126124425202935e-08,1.1357924705045486,1.0,1.0
114,159.0,5.472561167951251,1.0057090231192182e-07,0.0034380032566834525,1.0,1.0
115,160.0,5.606341085881926,1.9098775791221158e-07,0.8160358239948268,1.0,1.0
116,161.0,7.159975788286408,2.278674172551006e-06,0.586973754019508,1.0,1.0
117,162.0,5.586758878790515,1.2672262420312009e-08,2.9254335164342358,1.0,1.0
121,166.0,5.8734390646276164,1.7453852034540496e-08,0.22369043401622493,1.0,1.0
122,167.0,6.8827586718492935,1.5124120128550417e-08,1.7477642113101748,1.0,1.0
123,168.0,5.037632836562109,1.0110372881755371e-07,1.134645914923506,1.0,1.0
126,172.0,5.9949817693081595,1.4383032062975722e-08,0.6254190906242625,1.0,1.0
128,176.0,6.061004075778363,1.610151966862234e-08,0.719062285818024,1.0,1.0
130,178.0,7.04738192937059,1.4855187063859056e-08,0.6511940759718757,1.0,1.0
131,179.0,5.00463607047623,1.457147752111533e-08,0.5002041650275045,1.0,1.0
132,180.0,5.0629421840394535,1.7852759183281205e-08,0.43938680016711,1.0,1.0
133,184.0,5.251234437798787,1.5301201546146092e-08,2.049328377682034,1.0,1.0
134,185.0,5.441002156100034,2.2908052406186496e-08,1.2877269448185291,1.0,1.0
135,186.0,5.625470483028046,2.3066227791073994e-07,1.184779204317499,1.0,1.0
136,187.0,4.293544889206081,6.739706432053475e-08,2.999999197812231,1.0,1.0
138,189.0,8.383975333983434,1.654755839962099e-07,0.02390472609489249,1.0,1.0
