,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
0,1.0,5.6317929951178956,2.981559699622038e-08,2.9999996068389425,1.1672634255297607e-08,0.12956361735919525,1.0,1.0
1,3.0,5.0514846531269555,1.208035352615655e-07,1.1118566721264296,1.6361413672955334e-08,2.4532779646677522e-08,1.0,1.0
2,4.0,4.213731259067861,0.2796094135759524,1.6036700078852433e-07,4.218397988600997e-08,0.08939797303657508,1.0,1.0
3,6.0,6.436213767836787,1.1056705352551264e-07,0.30270230100571405,0.2533012246361239,0.4999999881835646,1.0,1.0
4,8.0,5.9718913289746,0.7657477440237438,1.9693173071614e-07,0.09007681401380295,0.031834360017277144,1.0,1.0
5,9.0,6.272216458567609,1.012746014984265e-07,2.0241827023031838,0.010371114142924185,0.1279439208875159,1.0,1.0
6,10.0,4.486182151307984,2.6506289746209903e-08,1.1141599007020981e-07,0.07702386523545067,1.2629830119130466e-08,1.0,1.0
7,11.0,5.382899085970874,1.5309947511765834e-08,0.15061154107357777,1.0553260965438378e-08,0.025153406455882772,1.0,1.0
8,12.0,6.047684544933112,2.777590957964147e-08,0.9522881574560694,0.032460351044533944,0.08523061091518828,1.0,1.0
9,13.0,7.197286421392002,3.48617825354794e-08,2.519197644738397,0.1062215722175358,0.09407628686110324,1.0,1.0
10,14.0,5.647477391620498,1.7399224957224124e-07,0.9240167434063771,0.16005117175506067,0.2491439396520779,1.0,1.0
11,15.0,7.639222451124647,5.348792423229455e-08,1.8490821449914898,0.014607932440455985,0.15849344369525178,1.0,1.0
12,16.0,6.47355708489018,1.8847273106007743e-07,1.0447585703387858,0.1025831914456501,0.2903570813338473,1.0,1.0
13,17.0,6.004625002547127,2.882835588044298e-07,0.1538306946222458,0.09523842350440473,0.04371690116267744,1.0,1.0
15,21.0,5.541716758706737,1.445576345007807e-07,1.390004908327876,1.700837604513669e-08,2.5405529737338486e-08,1.0,1.0
16,23.0,7.1714394904242615,2.6116714004119963e-07,0.7405691313640245,2.127983736346647e-08,0.01482725396383974,1.0,1.0
17,31.0,4.408488028164267,1.3536594557819192e-08,1.0423629325694572,1.0293802981350286e-08,1.0534887264867548e-08,1.0,1.0
18,35.0,2.6707074935036896,7.477786697284504e-08,2.8196209467840054e-07,1.994648002323334e-08,0.005065831910767951,1.0,1.0
19,38.0,4.644415716664797,1.4384940841455791e-08,1.4039680099445413,1.0415311111811314e-08,0.03420279847171219,1.0,1.0
20,39.0,3.9274065261388897,2.4594417700139377e-08,0.25795336565802923,1.3259941523958471e-08,5.7123079692363054e-08,1.0,1.0
21,40.0,5.42577058807784,3.997110387008376e-08,0.879858407868895,2.2440279808969157e-08,2.4958480179071714e-08,1.0,1.0
22,41.0,6.701207773938088,3.195046454046394e-08,0.3818349747226988,1.0245053491176692e-08,1.0342814456700606e-08,1.0,1.0
24,44.0,7.472566971700154,1.6998406685261772e-08,0.7412119978110666,1.0402233287857564e-08,1.0400506276866069e-08,1.0,1.0
25,46.0,6.667049639812509,3.983520763697018e-07,1.040494762832431,3.3986877541927937e-08,0.12400071251899197,1.0,1.0
26,49.0,3.1283268839155154,6.852655241297855e-07,4.785530500864242e-07,0.06371751855431285,3.470258370873838e-05,1.0,1.0
27,50.0,7.110594450025024,1.906823070066982e-07,0.3830901467650794,0.06926219420370364,0.12928486373182568,1.0,1.0
28,53.0,6.699570625971488,4.172896587507216e-08,0.663244758562636,0.010370747198871783,1.2524802640549123e-08,1.0,1.0
31,63.0,6.561835565510744,2.441367670806031e-07,1.5654979864047776,2.032435093911463e-08,7.531251530199094e-08,1.0,1.0
32,64.0,3.6222251807122574,0.41093367563749006,2.7140679913835317e-08,0.023231382901990442,0.011348294434728599,1.0,1.0
33,65.0,7.358994195441911,5.638813700050254e-08,1.384777301348935,1.447796356671506e-08,0.08824476452499658,1.0,1.0
34,66.0,7.577473164966199,3.2504396691671527e-07,1.496097305603247e-07,0.0017611695250547201,0.06096596883889057,1.0,1.0
35,67.0,5.788131610416449,2.0978767415005798e-08,0.8324015473119332,1.0889526830958847e-08,0.08533784301025131,1.0,1.0
36,68.0,7.2545389662281785,1.6785571755596352e-07,0.5730272767881148,0.02637787746251986,0.010309361547954449,1.0,1.0
37,69.0,1.3130811133440288,3.6472349225597544e-08,1.5350140435770225e-07,0.29098996584927944,0.3300395644732284,1.0,1.0
38,71.0,5.185414457602463,1.706390249648745e-08,2.6573639976059065,1.033109760176607e-08,0.033507677761041084,1.0,1.0
39,72.0,5.72463322749458,2.3825347012409874e-07,1.0663832818365924,0.29395211760455886,0.2853933383955876,1.0,1.0
40,73.0,7.675777270004603,4.134466271923422e-07,0.8732175033901791,0.0996221144132474,0.15153875057624164,1.0,1.0
41,74.0,7.0296479956350515,2.0398503130972656e-07,1.5512592563515242,0.06624163032703928,0.025008181135131306,1.0,1.0
42,75.0,5.159329606479872,1.4011818536541938e-08,0.4066269783828586,1.0467433336686212e-08,1.071479680923151e-08,1.0,1.0
44,77.0,1.0000000934692668,9.58275720205263e-08,7.500278922696817e-08,0.24718520257465554,0.09109510651753737,1.0,1.0
45,78.0,3.8267877716019143,1.3840322755393168e-08,0.42691752488202117,1.052787680601218e-08,1.2001668696212554e-08,1.0,1.0
46,79.0,7.257462820482914,3.648793242763424e-08,1.4317655255087236,0.021375506269776037,0.014592850854469467,1.0,1.0
47,80.0,5.734696552331932,1.3415687702103636e-07,1.1023140239308615,1.9338896920192763e-08,0.017530787111991145,1.0,1.0
48,81.0,7.978485631497141,1.133641312778738e-07,0.4355653592354922,0.020178646218295772,0.01023125371530729,1.0,1.0
49,83.0,6.364113700584399,1.561265304094629e-07,0.25751728029036663,2.351963982571043e-08,0.0064252430031775925,1.0,1.0
50,84.0,7.174949257019413,4.2435466696872156e-07,1.9567404654913614,0.01921816389551905,0.11652509921628404,1.0,1.0
51,85.0,4.28412547561296,1.3721313815888755e-07,1.361658488538807,0.15164826179497917,0.19469645729985569,1.0,1.0
52,86.0,5.896557716510654,0.06248040727656816,1.215132576364143e-07,0.012395924586035518,0.025998603249545765,1.0,1.0
53,87.0,5.840470709255946,1.8461704048324638e-07,2.999999633871402,0.43812203111309383,0.45134133383370206,1.0,1.0
54,89.0,6.639545586013328,1.693199038375643e-08,1.681869024986025,1.0729035050842277e-08,0.0868679573615057,1.0,1.0
55,90.0,4.776648674532069,1.1481774645130742e-07,2.5046003615640253,1.5416121719294042e-08,1.965863992847819e-08,1.0,1.0
56,91.0,7.598155966696089,3.385010246847132e-08,0.012688709467460781,0.032966262262713,0.14156228617924566,1.0,1.0
57,93.0,3.6914117893724083,2.1412490251917165e-08,0.15504595225292508,0.007969754387706281,0.07443908325996926,1.0,1.0
58,94.0,6.620889475926862,0.20257363313896679,2.1345622198386515e-07,0.0895224080916803,0.24664814306420696,1.0,1.0
