,ID,Q_0,gamma_short,gamma_long,eta_short,eta_long,beta_long,beta_short
0,1.0,2.3719423055734103,5.406230716300107e-08,0.04568188899271094,2.7494369196354884,4.999999888803324,1.0,1.0
1,3.0,1.5998818990584927,3.470229628818492e-07,8.430787749659171e-07,2.9186242273612804,4.106192952965326,1.0,1.0
2,4.0,2.0493386592918297,2.3120295111448504e-07,0.10479540975083344,2.227877708290009,1.6896706558217596,1.0,1.0
3,6.0,4.9999503335013085,0.7219954697022424,0.5569011234817486,0.046067447728999254,0.27799498318496996,1.0,1.0
4,8.0,3.509730083735201,0.09940878004389658,1.1949400748803873e-07,2.6507587940576167,2.0509129161666113,1.0,1.0
5,9.0,1.0829281954295649,3.880464876911451e-08,0.9692732084533394,4.4669194434636115,4.999999931593209,1.0,1.0
6,10.0,1.0000001502967721,1.1378950784726355e-07,1.3024779708508435e-07,3.116201420988351,3.208820723250878,1.0,1.0
7,11.0,1.0000015943603868,1.7305856364995783e-07,0.5119250083352056,3.7493590033856443,3.4186023541048898,1.0,1.0
8,12.0,1.1373822623073522,2.4421029514830197e-07,7.002292002206849e-07,4.128756163660959,4.999999255198484,1.0,1.0
9,13.0,2.776967988358627,5.96963901500158e-08,0.6980044782315805,3.5919354209274554,4.999999887249813,1.0,1.0
10,14.0,3.5480072233139,5.718985836881784e-07,0.02931598508858035,1.7169168559553585,2.3442460778960688,1.0,1.0
11,15.0,2.7517925314141123,8.258005889749627e-08,2.7404727710026684,4.159491642888148,2.3696178899894353,1.0,1.0
12,16.0,2.8786657392705304,3.946047462137965e-07,1.6946217956746534,2.932205178487344,1.7960146403459059,1.0,1.0
13,17.0,3.056023982391367,4.296837290648762e-07,1.7791470959266473,2.4797666022688287,0.9330186926170373,1.0,1.0
15,21.0,2.477787705816586,4.130619310737143e-07,1.6480413811950158e-06,2.596431395310015,4.006656921895919,1.0,1.0
16,23.0,3.4340067446567986,1.1419814989347382e-07,1.190123306821192,3.216587784719647,2.7572720091853626,1.0,1.0
17,31.0,1.0000000123574515,1.4562258979913715e-08,3.662093044334573e-08,2.935297437008505,4.0142538484057715,1.0,1.0
18,35.0,1.0000000036004042,1.3223619224497198e-08,1.3007051821677335e-08,1.5221376527371284,1.9125201326502443,1.0,1.0
19,38.0,1.0000009549654303,1.537538963284279e-07,0.2955074242160528,3.1197652092920367,4.223797623883602,1.0,1.0
20,39.0,1.0000001810525607,1.3228022685287257e-07,1.4233519432383057e-07,2.4703587746456175,2.9852220625903505,1.0,1.0
21,40.0,2.3079542656317984,3.13062911131695e-07,0.33594628750540495,2.6718669059631934,3.238266840787588,1.0,1.0
22,41.0,4.465428848804078,3.152479887486991e-07,0.25829537374710393,1.8989081963114496,2.038480884423256,1.0,1.0
24,44.0,2.692725645170877,1.0884100988855148e-07,2.5858459418691324e-07,4.081438811824235,4.93943257809652,1.0,1.0
25,46.0,4.212552514940142,2.1721737212513528e-07,1.8527849650158141,2.1133840278253966,0.9901231683749979,1.0,1.0
26,49.0,1.0000000118722703,2.4575234026057528e-08,1.5137928260055592e-08,2.0525790877582435,1.9938755490028957,1.0,1.0
27,50.0,3.0555512507191245,4.2958397956791383e-07,0.3788892146677438,3.3774396446005515,3.240030275535515,1.0,1.0
28,53.0,2.8377292933513414,9.641301408287403e-07,6.341206952825084e-07,3.2519952167409083,4.072224593214737,1.0,1.0
31,63.0,3.782528127933386,1.4402677140223235e-07,1.0456689158711365,2.374216930383088,2.9175709668630168,1.0,1.0
32,64.0,1.0000002655065503,1.7174447733336391e-07,1.7376287452616785e-07,2.867921905626011,2.2194642804379248,1.0,1.0
33,65.0,3.3172255762105656,4.948263414386246e-07,1.638472372865652,3.4722159408388946,2.771362634310035,1.0,1.0
34,66.0,1.8269658517723721,7.051076601656186e-08,1.2098149264467225e-07,4.999999879700024,4.716566959701026,1.0,1.0
35,67.0,3.7345373998074205,6.513342765521575e-07,0.30527497068414433,1.7413388657808668,2.1121035759073985,1.0,1.0
36,68.0,3.3642411203845803,0.39997769539886324,1.0975359227598261e-07,2.842969822165729,3.9514646919097247,1.0,1.0
37,69.0,1.000000321803987,1.390116657008726e-07,3.181026149747652e-07,1.6789759569378098,2.0183334434719447,1.0,1.0
38,71.0,2.484633277377566,7.49133064259795e-08,1.3238002965853104,2.2932424186903315,3.5276337937456606,1.0,1.0
39,72.0,1.8717608329963489,6.216147003806023e-08,2.722954265515701,3.2087000910540024,1.3270766920462382,1.0,1.0
40,73.0,4.9999918095193685,0.6127567144595707,0.1917761628586502,1.4337120401795616,2.3004170938320936,1.0,1.0
41,74.0,4.413715364734241,0.09265944828317604,1.1233291527988577e-06,1.9345822525398408,3.6444737749718734,1.0,1.0
42,75.0,1.0000000167952092,1.6608555659959236e-08,2.5747115803310796e-08,3.572225726638348,4.092950699078885,1.0,1.0
44,77.0,1.0000000875204447,9.390196455969938e-08,7.497103437275642e-08,1.5278550072366925,0.8376492955759903,1.0,1.0
45,78.0,1.0000000110170713,1.7612080244420752e-08,1.691116089537854e-08,2.3624001107913153,3.046328293379135,1.0,1.0
46,79.0,1.8359794558430202,5.927893003416824e-08,1.0727984838231124,4.624627858666721,4.9999991877720396,1.0,1.0
47,80.0,2.3739091383176416,2.7912056818921665e-07,3.2601534555458005e-06,2.8490933479338274,3.9338403094763836,1.0,1.0
48,81.0,2.706994048727359,5.024537716665513e-08,2.2558189107955404e-07,4.432612899299616,4.999999952525659,1.0,1.0
49,83.0,2.508397849638342,4.1016361661513645e-07,7.684612996853896e-07,3.286493307521336,3.6171363203713085,1.0,1.0
