,Block,Blocktrial,Horizon,Item,Sample,TreeA,TreeB,TreeC,TreeD,Size,RT,PressedKey,UnusedTree,TreeColGroup,TreeLeft,TreeMiddle,TreeRight,BlockDuration,InfoRequestNo
0,1.0,1.0,6.0,85.0,1.0,1.0,,,,9.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
1,1.0,1.0,6.0,85.0,2.0,1.0,,,,7.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
2,1.0,1.0,6.0,85.0,3.0,1.0,,,,8.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
3,1.0,1.0,6.0,85.0,4.0,,1.0,,,4.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
4,1.0,1.0,6.0,85.0,5.0,1.0,,,,7.0,5529.0,2.0,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
5,1.0,2.0,6.0,5.0,1.0,,1.0,,,9.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
6,1.0,2.0,6.0,5.0,2.0,,,,1.0,4.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
7,1.0,2.0,6.0,5.0,3.0,,1.0,,,8.0,4246.0,3.0,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
8,1.0,3.0,11.0,39.0,1.0,1.0,,,,5.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
9,1.0,3.0,11.0,39.0,2.0,,,,1.0,2.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
10,1.0,3.0,11.0,39.0,3.0,1.0,,,,5.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
11,1.0,3.0,11.0,39.0,4.0,,1.0,,,3.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
12,1.0,3.0,11.0,39.0,5.0,1.0,,,,4.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
13,1.0,3.0,11.0,39.0,6.0,1.0,,,,5.0,5595.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
14,1.0,3.0,11.0,39.0,7.0,1.0,,,,5.0,2480.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
15,1.0,3.0,11.0,39.0,8.0,1.0,,,,4.0,1904.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
16,1.0,3.0,11.0,39.0,9.0,1.0,,,,5.0,1408.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
17,1.0,3.0,11.0,39.0,10.0,1.0,,,,3.0,944.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
18,1.0,3.0,11.0,39.0,11.0,1.0,,,,4.0,3056.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
19,1.0,4.0,6.0,48.0,1.0,,1.0,,,3.0,,,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
20,1.0,4.0,6.0,48.0,2.0,,,,1.0,2.0,,,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
21,1.0,4.0,6.0,48.0,3.0,,,1.0,,4.0,6075.0,1.0,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
22,1.0,5.0,6.0,34.0,1.0,1.0,,,,4.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
23,1.0,5.0,6.0,34.0,2.0,,,,1.0,2.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
24,1.0,5.0,6.0,34.0,3.0,,1.0,,,3.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
25,1.0,5.0,6.0,34.0,4.0,1.0,,,,5.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
26,1.0,5.0,6.0,34.0,5.0,1.0,,,,4.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
27,1.0,5.0,6.0,34.0,6.0,,1.0,,,4.0,6477.0,2.0,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
28,1.0,6.0,11.0,86.0,1.0,,,,1.0,2.0,,,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
29,1.0,6.0,11.0,86.0,2.0,,1.0,,,4.0,,,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
30,1.0,6.0,11.0,86.0,3.0,,,1.0,,3.0,4722.0,1.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
31,1.0,6.0,11.0,86.0,4.0,,1.0,,,4.0,2576.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
32,1.0,6.0,11.0,86.0,5.0,,1.0,,,3.0,1369.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
33,1.0,6.0,11.0,86.0,6.0,,1.0,,,3.0,1975.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
34,1.0,6.0,11.0,86.0,7.0,,1.0,,,4.0,1856.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
35,1.0,6.0,11.0,86.0,8.0,,1.0,,,3.0,1536.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
36,1.0,7.0,6.0,51.0,1.0,1.0,,,,5.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
37,1.0,7.0,6.0,51.0,2.0,,1.0,,,6.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
38,1.0,7.0,6.0,51.0,3.0,1.0,,,,4.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
39,1.0,7.0,6.0,51.0,4.0,1.0,,,,3.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
40,1.0,7.0,6.0,51.0,5.0,,1.0,,,6.0,4172.0,1.0,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
41,1.0,8.0,6.0,96.0,1.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
42,1.0,8.0,6.0,96.0,2.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
43,1.0,8.0,6.0,96.0,3.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
44,1.0,8.0,6.0,96.0,4.0,,1.0,,,3.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
45,1.0,8.0,6.0,96.0,5.0,1.0,,,,6.0,3399.0,2.0,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
46,1.0,9.0,11.0,35.0,1.0,,,,1.0,2.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
47,1.0,9.0,11.0,35.0,2.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
48,1.0,9.0,11.0,35.0,3.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
49,1.0,9.0,11.0,35.0,4.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
50,1.0,9.0,11.0,35.0,5.0,1.0,,,,6.0,2662.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
51,1.0,9.0,11.0,35.0,6.0,1.0,,,,6.0,4040.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
52,1.0,9.0,11.0,35.0,7.0,1.0,,,,5.0,968.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
53,1.0,9.0,11.0,35.0,8.0,1.0,,,,4.0,1743.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
54,1.0,9.0,11.0,35.0,9.0,1.0,,,,5.0,2505.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
55,1.0,9.0,11.0,35.0,10.0,1.0,,,,5.0,1033.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
56,1.0,10.0,11.0,32.0,1.0,1.0,,,,8.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
57,1.0,10.0,11.0,32.0,2.0,,1.0,,,7.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
58,1.0,10.0,11.0,32.0,3.0,1.0,,,,6.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
59,1.0,10.0,11.0,32.0,4.0,1.0,,,,6.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
